name,location,Assignee,Status,Coord,lat,lng,start,end,month,description,Discipline,thumbnail,Event Images,Approved,USAC sanct,promoter,email,Registration Site,link,category
Piggy's Revenge 2023 Off Road Challenge,"1800 Mabry Carlton Pkwy, Venice, FL  34292","Venice, FL",FL,"27°07'29.4""N 82°20'27.2""W",27.129161,-82.33312,1/29/2023,1/29/2023,Jan," New this year there will be NO RACE DAY REGISTRATION, YOU MUST PREREGISTER HERE. We have a 350-rider limit. Registration closes when we reach the limit regardless of the date. You can change your category at no charge but to transfer registrations to other participants there is a $10 surcharge.",Gravel,https://v5.airtableusercontent.com/v1/15/15/1677189600000/ZXiNcakuLCKRNnHxya6VhA/uqi02jnPMioNHI_CL92qQDeggFIc14MTqBbNc5Ga55dbd7xFIsdkAoQkXbVLD0QyPvAROgBEjEND6hzwqTrUzYfwn2xTdhUcZmMBa2eb9oY/ra0jL5gulRickdO8wtosk6zbfwO6Mom4XoGxK8s_2qI,,,no,,scorrider@gmail.com,https://www.bikereg.com/piggys-revenge,https://www.scorrider.com,Cycling
Smithville Gravel Weekend,"403 Zapalac Rd, Smithville, TX  78957","Smithville, TX",TX,"29°57'14.9""N 97°09'19.4""W",29.953824,-97.154178,1/21/2023,1/22/2023,Jan,,Gravel,https://v5.airtableusercontent.com/v1/15/15/1677189600000/FvPlXhkaLy-NK9fddFW1fw/XnX9uLo3_lu38xzbiTUziRRwVDfolor5xtMVBieoXPYxoqfg8BM_SeOT7ls8xdbXN50En8FngPwwlTGfSdmsQ-3QzlvTVECki1IodAGFgpc/Gt_CAMwsiwNdrj5X2TKyZWyTcn8n_aDPmFEedFmXILU,image.jpeg (https://v5.airtableusercontent.com/v1/15/15/1677189600000/LtvAahm0Tmk7-Cg4Fa1Zrw/ygMjq-8w79mAubHNIVt7_lK3IAzPsiFYUA5dph1yXz0Exe5CXDMy-o3x5e3OFEdS_ShsXPejWIlwu9LZs-Vg99nmiom53qQFcIqOKFJHVHg/oK95eMD9vdDDPGngBUF1CgJPLOBDE2LDmdyQY6ynw20),,no,ZAPALAC RODEO,(512) 718-6129,www.bikereg.com/smithville-gravel-weekend,http://www.facebook.com/Zimmerhanzelexpress,Cycling
Dirty Pecan 2023,"2729 West Washington St. Monticello, FL 32344","Monticello, FL",FL,"30°32'23.2""N 83°55'00.1""W",30.534736,-83.915584,3/4/2023,3/4/2023,Mar,"Remember, this is an UNSUPPORTED ride (not a race): there is NO support, NO sag stops, NOR support vehicles. The course will NOT be marked, and there will be NO printouts prior to the ride. YOU are 100% responsible for YOU, YOUR welfare, YOUR equipment, YOUR navigation, and YOUR own food and drink. If you need a juice box and a hug every 20 miles, this is not the ride for you, please stay home.
",Gravel,https://v5.airtableusercontent.com/v1/15/15/1677189600000/egk5MQi9MBr31f75Xt5iBw/uiiZ7AyZEMlMyvrsqnUfECQk-F1Yu5mOyKuLszEo9gZKuo65y-0ah18Qn08v30ZCqUqp0h_7AkxM1WDYCCFInlJ3bOkovrMHBV3_F_sQGvo/064vtyHb_Z4RkY72vrLyjm-2eZ3EkdtD52ift_Mvk-k),,,no,Dirty Pecan,betsy@betsybarfield.com,https://www.bikereg.com/dirtypecan,https://www.facebook.com/dirtypecan/,Cycling
East Texas Showdown,"401 TX-156, Point Blank, TX  77364","Point Blank, TX ",TX,"30°44'44.7""N 95°12'46.9""W",30.739762,-95.213828,3/17/2023,3/19/2023,Mar,"In addition to registering with Bikes or Death here on BikeReg, you are also required to fill out a form with MAProgress to be officially registered for the race (applies to SHOWdown & SLOWdown, tracking for LOWdown is optional). The fee for the Spot Tracker (either using your own spot device {$22} or renting a spot device {$77}) is waived on the trackleader site as you will have already paid when you sign up with us! 
",Gravel,https://v5.airtableusercontent.com/v1/15/15/1677189600000/FnwA5gnGeZK_jIZaeP-21A/3P0tg9wloPViJtbvkTUACTLvJ1pG5eKajeuvKnEHdp1u1GoDEzJz7P-0qPc5OFsFYGRRRarlw-Vopm3bB5FL5O9LeZQgwWxuG1sItUBpT6U/9ebgE76a9FHR7QQD3EbBdHbkmz-9ME9pnfFmRjc7E4U),,,no,Bikes or Death,,https://www.bikereg.com/east-texas-showdown,,Cycling
Rattlesnake Gravel Grind,"Co Rd 264, Sweetwater, TX  79556","Sweetwater, TX",TX,"32°26'25.4""N 100°18'21.7""W",32.47095,-100.40594,3/24/2023,3/26/2023,Mar,"Join us March 24-26, 2023 for West Texas Gravel & One Heck of a Post Race Party!
",Gravel,https://v5.airtableusercontent.com/v1/15/15/1677189600000/vV0rDWdwwP3CIaoT45_YCA/8bxPjVpeZypU_t_12B_t-7Xblb_ofQV6b02Zwy4xvF2l0qIbl-NpqbjZoQvXcdr4ZvPlDnJZQ6Ky4stLCmpP0zHqDyjrskBA32pWAa4FPBo/bKr69qY8Nx2pwEB3fY5DrNwF2J8e_DlYm9AH072xhHk,,,no,Sweetwater Junior Chamber of Commerce,rattlesnakegrind@gmail.com,https://www.bikereg.com/rattlesnake-gravel-grind,https://rattlesnakegravelgrind.bike,Cycling
Swamp Fox Gravel Fondo p/b Lauf,"Corner of Eccles Church and Steed Creek Rd, Huger, SC  29450","Huger, SC",SC,"33°05'50.7""N 79°48'12.3""W",33.043929,-79.784137,3/18/2023,3/18/2023,Mar,"The Swamp Fox Gravel Fondo (SFGF) presented by Lauf will take place on the gravel roads in and around the Francis Marion National Forest just outside of Charleston, South Carolina. 
",Gravel,https://v5.airtableusercontent.com/v1/15/15/1677189600000/Hyq3dsFZbskGkwldYh-2cQ/frH2flAYGxvDIPOzkGEUeEzBO4Pd0pKQ2yfgjThH7ZizYPxFcaaRSq7lXyKSGtWdpoas8sUs-9rs0u_RzqRf85cz2IJ0ZZ8o8CrJaN0qgm8/eHSMdcuSjkmb7uP0tlYXOslsA8gkEk1c1l1kk9-PtUs,,,no, Mt. Pleasant Velo Events,racedirector@mtpleasantvelo.org,https://www.bikereg.com/swamp-fox-gravel-fondo-presented-by-lauf-2023,https://www.mtpleasantvelo.org/swampfoxgravelfondo,Cycling
Renegade Rambler,"154 S Main St, Farmersville, TX  75442","Farmersville, TX",TX,"33°09'44.0""N 96°21'33.7""W",33.162034,-96.35991,2/25/2023,2/25/2023,Feb,"The Renegade Rambler is a grassroots gravel event that centers on the rich heritage of northeast Texas. When the Civil War ended in 1865, fighting did not cease immediately. In fact, the drama continued on in some places for years after. One of the biggest areas this drama played itself out was in the Corners region of northeast Texas, where Grayson, Fannin, Hunt, and Collin Counties converge, in an area known as “Wildcat Thicket.” This thicket was massively dense, and was home to panthers, wolves, bears, and wildcats... It was said that if you wandered into it, that you might never make your way out again. For this reason, it was an ideal haven for army deserters, outlaws, and renegades.",Gravel,https://v5.airtableusercontent.com/v1/15/15/1677189600000/KkYGdu2J8e_RLcFvkS3UhQ/tTmyYo5vj7QiJ0XUOUSnmHTYurPfCM8oVew_l62Ri0F4ez3esfrmuyCrbAcogeQWGPWb2CziQ2OFpE5_KTSq2Gce-_6Z_rdr7PtIu2sv0bo/MP3n32iBI7dZa2VKxleJZeeg1lUAuOb33XEOMMQ-jLo),,,no,,,https://www.bikereg.com/renegade-rambler-100,https://www.greenvillegravel.com/renegade-rambler-100,Cycling
Gravel & Whine,"38642 CA-79, Warner Springs, CA  92086","Warner Springs, CA",CA,"33°24'37.3""N 116°49'11.4""W",33.411358,-116.820758,1/28/2023,1/28/2023,Jan," Join us on Saturday, January 28th, 2023 
at the Emerald Creek Winery 
located at 38642 CA-79, Warner Springs, CA 92086
",Gravel,https://v5.airtableusercontent.com/v1/15/15/1677189600000/saeliaeQGBPhVRo9j6j22Q/BzCiQEoqfrHIxoysqU5Dmqrf9Si8AKll8bvSND2cDkaJtTKPRSrbyBJ5Br7WkXp1wY5ywBWOWvRMWtylf5h_MKWCQ4JJxidfH6VSoAuwMKs/YITlxQ2SNJvom8_NdDA7lwNo5Avk7tmwau71QTBwiTI,image.jpeg (https://v5.airtableusercontent.com/v1/15/15/1677189600000/ZifCDjIPhGuiw-hltrryGQ/wat8Dsq-fQCgIrLqNeLL3LlngRny4M-RAwuj6Ssh_Tz3JlX7U1LnRL1sDSGY8iH9ZBN62pJ5BaThBR57LHUlT05lt7-IS_xuBHqoq71-NrU/oFuUcx8_yWWZ91CagVwlfojENPnFNcWBjNMMqtuUsak),,yes,Floyds of Leadville,GRAVELANDWHINE@GMAIL.COM,https://www.bikereg.com/gravel--whine-2023,https://thegravelandwhine.com,Cycling
migchapulin@gmail.com,"1435 Stoney Point Rd, Roopville, GA  30170","Roopville, GA",GA,"33°25'51.8""N 85°11'38.9""W",33.428363,-85.200377,2/25/2023,2/25/2023,Feb,,Gravel,https://v5.airtableusercontent.com/v1/15/15/1677189600000/PRJzXzk2XgIggPn01osNBA/DhsA3R5jK7Z5jAc-5eczrR6pcG83fszRBux2a63QmWlEGTHdC1Ba9xxKOCam-Yo4FyK2eFOM6zsVyWhKxK4_aJ0pJhb5s5hk5ODKtp0KSb8/xSEk_q_-B8CBJGRyx3IBnsMAgziFwNqVcaMBO5f2I0Q),,,yes,,,https://www.bikereg.com/border-wars,https://borderwarsgravel.com/,Cycling
Belgian Waffle Ride Arizona,"7100 E Cave Creek Rd , Cave Creek, AZ  85331","Cave Creek, AZ",AZ,"33°49'52.6""N 111°55'45.8""W",33.82981,-111.928045,3/3/2023,3/5/2023,Mar,"The first Belgian Waffle Ride of 2023 will be the inaugural BWR AZ held in Scottsdale, where a vibrant cycling community awaits the launch of the Quadrupel Crown of Gravel Series. Scottsdale offers an incredible array of road and unroad riding options, perfect for the type of race courses the Belgian Waffle Ride has become known for. The event will take place in and around northern Scottsdale with a start/finish in Cave Creek, which is home to 200 plus miles of trails in the McDowell Sonoran Preserve with trails ranging from beginner through to the truly advanced for waffleurs. The roads are spectacular and the variations between gravel and mountain biking have allowed us to create an incredibly dynamic course that will take place in perfect spring weather in Scottsdale.
",Gravel,https://v5.airtableusercontent.com/v1/15/15/1677189600000/eeJanZmkaV0Bkl0RSP3fCw/ZoBphGVm-5BGK-NXpCUAj36-Xp3_nnqP9YaeaFrFDoPdag4YVFZjFl5XfDUTN1RRtk5TH0Ztbd8qZvzeBc2FXG3b9KR9QCiz3dtpg_Bw-YY/LU2DGG6T_HvcnVP9-o7rBiMVZTkoXqh-BJKGCevokYw,,,no,Monuments of Cycling,info@monumentsofcycling.com,https://www.bikereg.com/belgian-waffle-ride-arizona-2023#,https://belgianwaffleride.bike,Cycling
